text,labels
Food was great and so was the serivce!,1
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,0
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1
It was packed!!,0
"This place is not worth your time, let alone Vegas.",0
"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",0
"Not to mention the combination of pears, almonds and bacon is a big winner!",1
As a sushi lover avoid this place by all means.,0
I would not recommend this place.,0
- They never brought a salad we asked for.,0
Sauce was tasteless.,0
The RI style calamari was a joke.,0
I'd love to go back.,1
The selection was probably the worst I've seen in Vegas.....there was none.,0
The owners are super friendly and the staff is courteous.,1
Food was so gooodd.,1
First time going but I think I will quickly become a regular.,1
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1
Service is perfect and the family atmosphere is nice to see.,1
I wasn't really impressed with Strip Steak.,0
Not good by any stretch of the imagination.,0
An extensive menu provides lots of options for breakfast.,1
So don't go there if you are looking for good food...,0
"What did bother me, was the slow service.",0
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0
The cow tongue and cheek tacos are amazing.,1
My friend loved the salmon tartar.,1
I ordered the Lemon raspberry ice cocktail which was also incredible.,1
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1
He deserves 5 stars.,1
It was way over fried.,0
There is not a deal good enough that would drag me into that establishment again.,0
"This was my first crawfish experience, and it was delicious!",1
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1
And then tragedy struck.,0
"Overall, I was very disappointed with the quality of food at Bouchon.",0
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,0
I had the mac salad and it was pretty bland so I will not be getting that again.,0
I guess maybe we went on an off night but it was disgraceful.,0
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0
Service was slow and not attentive.,0
"The ripped banana was not only ripped, but petrified and tasteless.",0
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1
The food wasn't good.,0
Food was average at best.,0
I love their fries and their beans.,1
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1
It's a great place and I highly recommend it.,1
My husband said she was very rude... did not even apologize for the bad food or anything.,0
The goat taco didn't skimp on the meat and wow what FLAVOR!,1
The live music on Fridays totally blows.,0
Interesting decor.,1
This place has a lot of promise but fails to deliver.,0
The kids play area is NASTY!,0
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0
"Best Buffet in town, for the price you cannot beat it.",1
Great Pizza and Salads!,1
"The service was great, even the manager came and helped with our table.",1
"That said, our mouths and bellies were still quite pleased.",1
This was my first time and I can't wait until the next.,1
She ordered a toasted English muffin that came out untoasted.,0
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1
I love this place.,1
Great food.,1
"It was so bad, I had lost the heart to finish it.",0
Food was delicious!,1
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0
Service was very prompt.,1
The food came out at a good pace.,1
"The service was not up to par, either.",0
It is worth the drive.,1
"If you want healthy authentic or ethic food, try this place.",1
Their monster chicken fried steak and eggs is my all time favorite.,1
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1
Horrible - don't waste your time and money.,0
Overall I was not impressed and would not go back.,0
Waitress was a little slow in service.,0
The desserts were a bit strange.,0
"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",1
"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0
An excellent new restaurant by an experienced Frenchman.,1
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0
Best breakfast buffet!!!,1
The patio seating was very comfortable.,1
The service was terrible though.,0
Once you get inside you'll be impressed with the place.,1
The waitress was friendly and happy to accomodate for vegan/veggie options.,1
definitely will come back here again.,1
"Third, the cheese on my friend's burger was cold.",0
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1
Fantastic food!,1
The waitresses are very friendly.,1
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0
The seafood was fresh and generous in portion.,1
Nicest Chinese restaurant I've been in a while.,1
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1
"All in all, I can assure you I'll be back.",1
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1
The service here is fair at best.,0
I've never been more insulted or felt disrespected.,0
The buffet is small and all the food they offered was BLAND.,0
After I pulled up my car I waited for another 15 minutes before being acknowledged.,0
Do not waste your money here!,0
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0
Their rotating beers on tap is also a highlight of this place.,1
"Cute, quaint, simple, honest.",1
Definitely not worth the $3 I paid.,0
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0
Disappointing experience.,0
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0
The nachos are a MUST HAVE!,1
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0
Google mediocre and I imagine Smashburger will pop up.,0
This was like the final blow!,0
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1
Seriously killer hot chai latte.,1
Delicious and I will absolutely be back!,1
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1
The Veggitarian platter is out of this world!,1
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0
I took back my money and got outta there.,0
Their steaks are 100% recommended!,1
"Also, I feel like the chips are bought, not made in house.",0
So they performed.,1
"Overall, I like there food and the service.",1
Nice ambiance.,1
"Furthermore, you can't even find hours of operation on the website!",0
The waiter wasn't helpful or friendly and rarely checked on us.,0
"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1
I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.,1
This place is two thumbs up....way up.,1
And the chef was generous with his time (even came around twice so we can take pictures with him).,1
There is nothing privileged about working/eating there.,0
The fries were great too.,1
Service is friendly and inviting.,1
These were so good we ordered them twice.,1
All the bread is made in-house!,1
The place was not clean and the food oh so stale!,0
This is an unbelievable BARGAIN!,1
Both of the egg rolls were fantastic.,1
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1
I probably won't be coming back here.,0
This is one of the best bars with food in Vegas.,1
We definately enjoyed ourselves.,1
I will not be eating there again.,0
Penne vodka excellent!,1
-My order was not correct.,0
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0
2 Thumbs Up!!,1
"When my order arrived, one of the gyros was missing.",0
You can't beat that.,1
The atmosphere was great with a lovely duo of violinists playing songs we requested.,1
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0
The food was excellent and service was very good.,1
"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",0
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1
What happened next was pretty....off putting.,0
This is a disgrace.,0
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0
I had a seriously solid breakfast here.,1
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0
"I have eaten here multiple times, and each time the food was delicious.",1
I'm super pissd.,0
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0
I could care less... The interior is just beautiful.,1
"However, there was so much garlic in the fondue, it was barely edible.",0
My husband and I ate lunch here and were very disappointed with the food and service.,0
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1
There is nothing authentic about this place.,0
Things that went wrong: - They burned the saganaki.,0
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0
Now I am getting angry and I want my damn pho.,0
I'll take my business dinner dollars elsewhere.,0
I think not again,0
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0
My fella got the huevos rancheros and they didn't look too appealing.,0
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1
I was so insulted.,0
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0
I waited and waited.,0
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1
Some highlights : Great quality nigiri here!,1
"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0
Will not be back.,0
"The dining space is tiny, but elegantly decorated and comfortable.",1
The atmosphere here is fun.,1
Join the club and get awesome offers via email.,1
And it was way to expensive.,0
dont go here.,0
The fried rice was dry as well.,0
The yellowtail carpaccio was melt in your mouth fresh.,1
OMG I felt like I had never eaten Thai food until this dish.,1
This place is amazing!,1
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0
This place is way too overpriced for mediocre food.,0
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1
But the service was beyond bad.,0
"If it were possible to give them zero stars, they'd have it.",0
Good beer & drink selection and good food selection.,1
"The burger is good beef, cooked just right.",1
We were promptly greeted and seated.,1
I want to first say our server was great and we had perfect service.,1
it was a drive to get there.,0
The folks at Otto always make us feel so welcome and special.,1
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0
The Greek dressing was very creamy and flavorful.,1
Waiter was a jerk.,0
Everything was perfect the night we were in.,1
This place deserves one star and 90% has to do with the food.,0
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0
The service was poor and thats being nice.,0
Eew... This location needs a complete overhaul.,0
Fantastic service here.,1
Crostini that came with the salad was stale.,0
And the beans and rice were mediocre at best.,0
I hate those things as much as cheap quality black olives.,0
Crust is not good.,0
"Host staff were, for lack of a better word, BITCHES!",0
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,0
"The wontons were thin, not thick and chewy, almost melt in your mouth.",1
"OMG, the food was delicioso!",1
Extremely Tasty!,1
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1
An absolute must visit!,1
So absolutley fantastic.,1
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1
Very friendly staff.,1
We watched our waiter pay a lot more attention to other tables and ignore us.,0
Best of luck to the rude and non-customer service focused new management.,0
"When I opened the sandwich, I was impressed, but not in a good way.",0
"The menu is always changing, food quality is going down & service is extremely slow.",0
Spend your money elsewhere.,0
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1
Won't ever go here again.,0
I hope this place sticks around.,1
The classic Maine Lobster Roll was fantastic.,1
Dessert: Panna Cotta was amazing.,1
Service sucks.,0
Food arrived quickly!,1
The cocktails are all handmade and delicious.,1
The waitress and manager are so friendly.,1
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0
If you haven't gone here GO NOW!,1
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0
The Jamaican mojitos are delicious.,1
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1
What a mistake.,0
"If you're not familiar, check it out.",1
I never come again.,0
"The food was great as always, compliments to the chef.",1
What a great double cheeseburger!,1
"A greasy, unhealthy meal.",0
"I loved the grilled pizza, reminded me of legit Italian pizza.",1
The vegetables are so fresh and the sauce feels like authentic Thai.,1
"Same evening, him and I are both drastically sick.",0
"This place is like Chipotle, but BETTER.",1
The bus boy on the other hand was so rude.,0
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1
"In fact I'm going to round up to 4 stars, just because she was so awesome.",1
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0
I can't tell you how disappointed I was.,0
This place is horrible and way overpriced.,0
Sooooo good!!,1
These are the nicest restaurant owners I've ever come across.,1
The flair bartenders are absolutely amazing!,1
"Anyway, I do not think i will go back there.",0
Kind of hard to mess up a steak but they did.,0
The service here leaves a lot to be desired.,0
Cant say enough good things about this place.,1
That's right....the red velvet cake.....ohhh this stuff is so good.,1
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,1
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1
The place was fairly clean but the food simply wasn't worth it.,0
No one at the table thought the food was above average or worth the wait that we had for it.,0
"After 20 minutes wait, I got a table.",0
You cant go wrong with any of the food here.,1
Mediocre food.,0
I was mortified.,0
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0
The grilled chicken was so tender and yellow from the saffron seasoning.,1
I promise they won't disappoint.,1
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1
It was awesome.,1
Service was fantastic.,1
