text,labels
Very Very Disappointed ordered the $35 Big Bay Plater.,0
"It was either too cold, not enough flavor or just bad.",0
My friend did not like his Bloody Mary.,0
I did not expect this to be so good!,1
The cashier was friendly and even brought the food out to me.,1
"I love the owner/chef, his one authentic Japanese cool dude!",1
Couldn't ask for a more satisfying meal.,1
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1
Weird vibe from owners.,0
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1
Not much seafood and like 5 strings of pasta at the bottom.,0
Favorite place in town for shawarrrrrrma!!!!!!,1
This place has it!,1
"Overall, I like this place a lot.",1
Don't do it!!!!,0
"i felt insulted and disrespected, how could you talk and judge another human being like that?",0
"Very convenient, since we were staying at the MGM!",1
Omelets are to die for!,1
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1
A lady at the table next to us found a live green caterpillar In her salad.,0
I don't have to be an accountant to know I'm getting screwed!,0
A FLY was in my apple juice.. A FLY!!!!!!!!,0
All I have to say is the food was amazing!!!,1
I vomited in the bathroom mid lunch.,0
The one down note is the ventilation could use some upgrading.,0
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0
Food quality has been horrible.,0
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1
By far the BEST cheesecurds we have ever had!,1
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0
It was equally awful.,0
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1
Everyone is treated equally special.,1
The jalapeno bacon is soooo good.,1
"I find wasting food to be despicable, but this just wasn't food.",0
Very disappointing!!!,0
Highly recommended.,1
Tried to go here for lunch and it was a madhouse.,0
A great touch.,1
"- Really, really good rice, all the time.",1
Will go back next trip out.,1
The service was extremely slow.,0
She was quite disappointed although some blame needs to be placed at her door.,0
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0
"Come hungry, leave happy and stuffed!",1
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0
I found a six inch long piece of wire in my salsa.,0
All of the tapas dishes were delicious!,1
"There is really nothing for me at postinos, hope your experience is better",0
I love the decor with the Chinese calligraphy wall paper.,1
The menu had so much good stuff on it i could not decide!,1
The worst was the salmon sashimi.,0
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1
"REAL sushi lovers, let's be honest - Yama is not that good.",0
(The bathroom is just next door and very nice.),1
Not good for the money.,0
High-quality chicken on the chicken Caesar salad.,1
"A couple of months later, I returned and had an amazing meal.",1
"Lastly, the mozzarella sticks, they were the best thing we ordered.",1
He came running after us when he realized my husband had left his sunglasses on the table.,1
I would definitely recommend the wings as well as the pizza.,1
The only redeeming quality of the restaurant was that it was very inexpensive.,1
Would not recommend to others.,0
Highly unprofessional and rude to a loyal patron!,0
